Time,Voltage
-7.58000000e-009,2.00000014e-004
-7.56000000e-009,2.54687518e-004
-7.54000000e-009,3.42187524e-004
-7.52000000e-009,3.64062526e-004
-7.50000000e-009,2.70312519e-004
-7.48000000e-009,2.96875021e-004
-7.46000000e-009,3.62500026e-004
-7.44000000e-009,3.67187526e-004
-7.42000000e-009,2.92187521e-004
-7.40000000e-009,2.28125016e-004
-7.38000000e-009,2.65625019e-004
-7.36000000e-009,3.50000025e-004
-7.34000000e-009,3.90625028e-004
-7.32000000e-009,3.46875025e-004
-7.30000000e-009,3.32812524e-004
-7.28000000e-009,3.12500022e-004
-7.26000000e-009,3.04687522e-004
-7.24000000e-009,2.65625019e-004
-7.22000000e-009,2.71875019e-004
-7.20000000e-009,3.56250025e-004
-7.18000000e-009,3.93750028e-004
-7.16000000e-009,4.26562530e-004
-7.14000000e-009,3.87500027e-004
-7.12000000e-009,2.98437521e-004
-7.10000000e-009,2.42187517e-004
-7.08000000e-009,2.43750017e-004
-7.06000000e-009,3.12500022e-004
-7.04000000e-009,3.87500027e-004
-7.02000000e-009,3.89062528e-004
-7.00000000e-009,3.00000021e-004
-6.98000000e-009,2.95312521e-004
-6.96000000e-009,3.34375024e-004
-6.94000000e-009,3.35937524e-004
-6.92000000e-009,2.95312521e-004
-6.90000000e-009,2.70312519e-004
-6.88000000e-009,3.51562525e-004
-6.86000000e-009,3.98437528e-004
-6.84000000e-009,4.03125029e-004
-6.82000000e-009,3.26562523e-004
-6.80000000e-009,3.39062524e-004
-6.78000000e-009,3.82812527e-004
-6.76000000e-009,3.79687527e-004
-6.74000000e-009,3.43750024e-004
-6.72000000e-009,3.14062522e-004
-6.70000000e-009,3.57812525e-004
-6.68000000e-009,3.98437528e-004
-6.66000000e-009,4.43750031e-004
-6.64000000e-009,3.48437525e-004
-6.62000000e-009,3.14062522e-004
-6.60000000e-009,2.81250020e-004
-6.58000000e-009,3.40625024e-004
-6.56000000e-009,3.82812527e-004
-6.54000000e-009,3.53125025e-004
-6.52000000e-009,3.62500026e-004
-6.50000000e-009,3.06250022e-004
-6.48000000e-009,2.68750019e-004
-6.46000000e-009,2.71875019e-004
-6.44000000e-009,3.06250022e-004
-6.42000000e-009,3.59375025e-004
-6.40000000e-009,3.51562525e-004
-6.38000000e-009,3.34375024e-004
-6.36000000e-009,3.23437523e-004
-6.34000000e-009,3.26562523e-004
-6.32000000e-009,3.40625024e-004
-6.30000000e-009,3.18750023e-004
-6.28000000e-009,3.60937526e-004
-6.26000000e-009,4.37500031e-004
-6.24000000e-009,4.45312532e-004
-6.22000000e-009,3.59375025e-004
-6.20000000e-009,3.21875023e-004
-6.18000000e-009,3.03125021e-004
-6.16000000e-009,3.15625022e-004
-6.14000000e-009,3.42187524e-004
-6.12000000e-009,3.45312524e-004
-6.10000000e-009,3.54687525e-004
-6.08000000e-009,3.53125025e-004
-6.06000000e-009,3.21875023e-004
-6.04000000e-009,2.84375020e-004
-6.02000000e-009,2.93750021e-004
-6.00000000e-009,3.07812522e-004
-5.98000000e-009,3.25000023e-004
-5.96000000e-009,2.89062520e-004
-5.94000000e-009,2.73437519e-004
-5.92000000e-009,2.51562518e-004
-5.90000000e-009,2.70312519e-004
-5.88000000e-009,2.82812520e-004
-5.86000000e-009,3.01562521e-004
-5.84000000e-009,3.12500022e-004
-5.82000000e-009,3.21875023e-004
-5.80000000e-009,3.18750023e-004
-5.78000000e-009,3.18750023e-004
-5.76000000e-009,3.00000021e-004
-5.74000000e-009,2.51562518e-004
-5.72000000e-009,2.64062519e-004
-5.70000000e-009,2.75000019e-004
-5.68000000e-009,3.18750023e-004
-5.66000000e-009,3.31250023e-004
-5.64000000e-009,2.95312521e-004
-5.62000000e-009,3.23437523e-004
-5.60000000e-009,3.62500026e-004
-5.58000000e-009,3.54687525e-004
-5.56000000e-009,2.73437519e-004
-5.54000000e-009,1.90625013e-004
-5.52000000e-009,2.60937518e-004
-5.50000000e-009,3.25000023e-004
-5.48000000e-009,3.34375024e-004
-5.46000000e-009,2.68750019e-004
-5.44000000e-009,2.82812520e-004
-5.42000000e-009,3.54687525e-004
-5.40000000e-009,3.37500024e-004
-5.38000000e-009,2.67187519e-004
-5.36000000e-009,2.03125014e-004
-5.34000000e-009,1.98437514e-004
-5.32000000e-009,2.04687514e-004
-5.30000000e-009,2.20312516e-004
-5.28000000e-009,2.71875019e-004
-5.26000000e-009,3.09375022e-004
-5.24000000e-009,3.06250022e-004
-5.22000000e-009,2.76562520e-004
-5.20000000e-009,2.59375018e-004
-5.18000000e-009,2.71875019e-004
-5.16000000e-009,2.31250016e-004
-5.14000000e-009,2.46875017e-004
-5.12000000e-009,2.87500020e-004
-5.10000000e-009,2.42187517e-004
-5.08000000e-009,2.03125014e-004
-5.06000000e-009,2.12500015e-004
-5.04000000e-009,2.46875017e-004
-5.02000000e-009,2.39062517e-004
-5.00000000e-009,2.07812515e-004
-4.98000000e-009,2.15625015e-004
-4.96000000e-009,2.54687518e-004
-4.94000000e-009,2.48437518e-004
-4.92000000e-009,1.89062513e-004
-4.90000000e-009,1.46875010e-004
-4.88000000e-009,1.12500008e-004
-4.86000000e-009,1.17187508e-004
-4.84000000e-009,1.37500010e-004
-4.82000000e-009,1.34375010e-004
-4.80000000e-009,1.14062508e-004
-4.78000000e-009,1.26562509e-004
-4.76000000e-009,2.10937515e-004
-4.74000000e-009,2.39062517e-004
-4.72000000e-009,2.07812515e-004
-4.70000000e-009,1.98437514e-004
-4.68000000e-009,2.15625015e-004
-4.66000000e-009,2.57812518e-004
-4.64000000e-009,2.04687514e-004
-4.62000000e-009,1.51562511e-004
-4.60000000e-009,1.17187508e-004
-4.58000000e-009,1.51562511e-004
-4.56000000e-009,1.70312512e-004
-4.54000000e-009,1.65625012e-004
-4.52000000e-009,1.79687513e-004
-4.50000000e-009,1.79687513e-004
-4.48000000e-009,1.60937511e-004
-4.46000000e-009,1.31250009e-004
-4.44000000e-009,1.21875009e-004
-4.42000000e-009,1.85937513e-004
-4.40000000e-009,2.23437516e-004
-4.38000000e-009,2.43750017e-004
-4.36000000e-009,1.85937513e-004
-4.34000000e-009,1.39062510e-004
-4.32000000e-009,1.31250009e-004
-4.30000000e-009,1.85937513e-004
-4.28000000e-009,2.32812516e-004
-4.26000000e-009,1.92187514e-004
-4.24000000e-009,1.85937513e-004
-4.22000000e-009,2.04687514e-004
-4.20000000e-009,1.59375011e-004
-4.18000000e-009,1.60937511e-004
-4.16000000e-009,1.57812511e-004
-4.14000000e-009,1.40625010e-004
-4.12000000e-009,1.76562512e-004
-4.10000000e-009,2.28125016e-004
-4.08000000e-009,2.65625019e-004
-4.06000000e-009,2.54687518e-004
-4.04000000e-009,1.93750014e-004
-4.02000000e-009,1.57812511e-004
-4.00000000e-009,2.00000014e-004
-3.98000000e-009,2.75000019e-004
-3.96000000e-009,2.98437521e-004
-3.94000000e-009,2.17187515e-004
-3.92000000e-009,1.48437511e-004
