Time,Voltage
-7.58000000e-009,4.81250034e-004
-7.56000000e-009,4.59375033e-004
-7.54000000e-009,4.59375033e-004
-7.52000000e-009,4.23437530e-004
-7.50000000e-009,4.07812529e-004
-7.48000000e-009,4.35937531e-004
-7.46000000e-009,5.15625036e-004
-7.44000000e-009,5.32812538e-004
-7.42000000e-009,4.71875033e-004
-7.40000000e-009,4.07812529e-004
-7.38000000e-009,4.10937529e-004
-7.36000000e-009,4.82812534e-004
-7.34000000e-009,5.64062540e-004
-7.32000000e-009,5.87500042e-004
-7.30000000e-009,5.17187537e-004
-7.28000000e-009,5.06250036e-004
-7.26000000e-009,5.14062536e-004
-7.24000000e-009,5.46875039e-004
-7.22000000e-009,5.45312539e-004
-7.20000000e-009,4.82812534e-004
-7.18000000e-009,4.57812532e-004
-7.16000000e-009,4.81250034e-004
-7.14000000e-009,5.39062538e-004
-7.12000000e-009,5.70312540e-004
-7.10000000e-009,5.78125041e-004
-7.08000000e-009,5.45312539e-004
-7.06000000e-009,5.59375040e-004
-7.04000000e-009,5.56250039e-004
-7.02000000e-009,5.53125039e-004
-7.00000000e-009,5.50000039e-004
-6.98000000e-009,5.06250036e-004
-6.96000000e-009,5.28125037e-004
-6.94000000e-009,6.06250043e-004
-6.92000000e-009,6.29687545e-004
-6.90000000e-009,5.95312542e-004
-6.88000000e-009,5.06250036e-004
-6.86000000e-009,5.23437537e-004
-6.84000000e-009,5.89062542e-004
-6.82000000e-009,5.98437542e-004
-6.80000000e-009,5.43750038e-004
-6.78000000e-009,5.10937536e-004
-6.76000000e-009,5.56250039e-004
-6.74000000e-009,6.04687543e-004
-6.72000000e-009,5.65625040e-004
-6.70000000e-009,5.01562536e-004
-6.68000000e-009,4.79687534e-004
-6.66000000e-009,5.00000035e-004
-6.64000000e-009,5.23437537e-004
-6.62000000e-009,5.32812538e-004
-6.60000000e-009,5.71875040e-004
-6.58000000e-009,5.93750042e-004
-6.56000000e-009,5.95312542e-004
-6.54000000e-009,5.07812536e-004
-6.52000000e-009,4.78125034e-004
-6.50000000e-009,4.93750035e-004
-6.48000000e-009,4.98437535e-004
-6.46000000e-009,5.18750037e-004
-6.44000000e-009,5.14062536e-004
-6.42000000e-009,5.15625036e-004
-6.40000000e-009,5.21875037e-004
-6.38000000e-009,5.21875037e-004
-6.36000000e-009,4.70312533e-004
-6.34000000e-009,5.14062536e-004
-6.32000000e-009,6.26562544e-004
-6.30000000e-009,6.39062545e-004
-6.28000000e-009,5.76562541e-004
-6.26000000e-009,4.73437534e-004
-6.24000000e-009,4.59375033e-004
-6.22000000e-009,4.62500033e-004
-6.20000000e-009,4.71875033e-004
-6.18000000e-009,5.01562536e-004
-6.16000000e-009,5.26562537e-004
-6.14000000e-009,5.42187538e-004
-6.12000000e-009,5.39062538e-004
-6.10000000e-009,4.98437535e-004
-6.08000000e-009,4.70312533e-004
-6.06000000e-009,5.29687537e-004
-6.04000000e-009,5.93750042e-004
-6.02000000e-009,5.59375040e-004
-6.00000000e-009,5.71875040e-004
-5.98000000e-009,5.46875039e-004
-5.96000000e-009,5.06250036e-004
-5.94000000e-009,4.81250034e-004
-5.92000000e-009,4.90625035e-004
-5.90000000e-009,5.12500036e-004
-5.88000000e-009,5.68750040e-004
-5.86000000e-009,5.82812541e-004
-5.84000000e-009,5.79687541e-004
-5.82000000e-009,5.39062538e-004
-5.80000000e-009,6.01562543e-004
-5.78000000e-009,6.26562544e-004
-5.76000000e-009,5.95312542e-004
-5.74000000e-009,5.96875042e-004
-5.72000000e-009,6.09375043e-004
-5.70000000e-009,7.07812550e-004
-5.68000000e-009,7.01562550e-004
-5.66000000e-009,6.29687545e-004
-5.64000000e-009,5.39062538e-004
-5.62000000e-009,5.57812539e-004
-5.60000000e-009,5.93750042e-004
-5.58000000e-009,5.71875040e-004
-5.56000000e-009,5.54687539e-004
-5.54000000e-009,5.70312540e-004
-5.52000000e-009,5.67187540e-004
-5.50000000e-009,5.25000037e-004
-5.48000000e-009,5.43750038e-004
-5.46000000e-009,6.28125044e-004
-5.44000000e-009,6.39062545e-004
-5.42000000e-009,5.89062542e-004
-5.40000000e-009,5.14062536e-004
-5.38000000e-009,4.96875035e-004
-5.36000000e-009,5.17187537e-004
-5.34000000e-009,5.00000035e-004
-5.32000000e-009,5.09375036e-004
-5.30000000e-009,5.45312539e-004
-5.28000000e-009,5.90625042e-004
-5.26000000e-009,5.34375038e-004
-5.24000000e-009,4.51562532e-004
-5.22000000e-009,4.18750030e-004
-5.20000000e-009,4.98437535e-004
-5.18000000e-009,5.28125037e-004
-5.16000000e-009,4.81250034e-004
-5.14000000e-009,4.42187531e-004
-5.12000000e-009,4.23437530e-004
-5.10000000e-009,4.68750033e-004
-5.08000000e-009,5.15625036e-004
-5.06000000e-009,5.34375038e-004
-5.04000000e-009,5.37500038e-004
-5.02000000e-009,5.34375038e-004
-5.00000000e-009,5.32812538e-004
-4.98000000e-009,5.09375036e-004
-4.96000000e-009,4.92187535e-004
-4.94000000e-009,5.34375038e-004
-4.92000000e-009,5.54687539e-004
-4.90000000e-009,5.40625038e-004
-4.88000000e-009,4.82812534e-004
-4.86000000e-009,4.60937533e-004
-4.84000000e-009,5.10937536e-004
-4.82000000e-009,5.70312540e-004
-4.80000000e-009,6.12500043e-004
-4.78000000e-009,5.65625040e-004
-4.76000000e-009,5.28125037e-004
-4.74000000e-009,4.92187535e-004
-4.72000000e-009,5.28125037e-004
-4.70000000e-009,6.20312544e-004
